"game_id","home_team","away_team","game_date","kalshi_prob_home","kalshi_prob_away","home_score","away_score","home_win",".prob",".y",".prob_clipped","brier","logloss"
"0042b0009547d8a7c9827977546613de","Phoenix Suns","Sacramento Kings",2025-10-22,0.53,0.47,120,116,1,0.53,1,0.53,0.2209,0.63487827243597
"00c81b9ad5b845e2a14e7f01e6a28777","Phoenix Suns","Atlanta Hawks",2025-11-16,0.39,0.61,122,124,0,0.39,0,0.39,0.1521,0.49429632181478
"00eb7e982d3c341cdc68795c73d901e1","Los Angeles Lakers","Minnesota Timberwolves",2025-10-24,0.4,0.6,128,110,1,0.4,1,0.4,0.36,0.916290731874155
"0150cdf67f18ee09b2207c17bd502b3d","Phoenix Suns","Memphis Grizzlies",2025-10-29,0.56,0.44,113,114,0,0.56,0,0.56,0.3136,0.82098055206983
"022efc6b85eb5cf71b2fa0faea2c76a0","Chicago Bulls","Philadelphia 76ers",2025-11-04,0.33,0.67,113,111,1,0.33,1,0.33,0.4489,1.10866262452161
"02ea5bff59e1d511ffeefcb8593d74a0","Sacramento Kings","Minnesota Timberwolves",2025-11-09,0.33,0.67,117,144,0,0.33,0,0.33,0.1089,0.400477566597125
"03056148fcfe2cce81e7025dae4c3dbe","Toronto Raptors","Memphis Grizzlies",2025-11-02,0.62,0.38,117,104,1,0.62,1,0.62,0.1444,0.478035800943
"0323223bc8d4e97d8d2e6cec15816e58","Dallas Mavericks","Phoenix Suns",2025-11-12,0.6,0.4,114,123,0,0.6,0,0.6,0.36,0.916290731874155
"04e46146b9e692941069c7034c368d60","New York Knicks","Washington Wizards",2025-11-03,0.85,0.15,119,102,1,0.85,1,0.85,0.0225,0.162518929497775
"059c428bc060a5272ce5a7b6771a3ceb","Boston Celtics","Memphis Grizzlies",2025-11-12,0.87,0.13,131,95,1,0.87,1,0.87,0.0169,0.139262067333508
"06f119cfcc8308a429374d041e864b8a","Oklahoma City Thunder","Denver Nuggets",2025-05-07,0.885,0.115,149,106,1,0.885,1,0.885,0.013225,0.122167633974208
"070ca82391365631462414ecb4a0d327","Miami Heat","Charlotte Hornets",2025-10-28,0.53,0.47,144,117,1,0.53,1,0.53,0.2209,0.63487827243597
"072f959e31211e7c805451ce92a5f4e5","Indiana Pacers","Oklahoma City Thunder",2025-10-11,0.45,0.55,116,101,1,0.45,1,0.45,0.3025,0.798507696217772
"072f959e31211e7c805451ce92a5f4e5","Indiana Pacers","Oklahoma City Thunder",2025-10-23,0.33,0.67,135,141,0,0.33,0,0.33,0.1089,0.400477566597125
"078f0883a88c1fb2deaf8a47b59c671f","Charlotte Hornets","Los Angeles Clippers",2025-11-22,0.56,0.44,116,131,0,0.56,0,0.56,0.3136,0.82098055206983
