"bookmaker","n_games","brier_mean","logloss_mean"
"MyBookie.ag",321,0.20094977587222,0.5838588834687
"BetMGM",321,0.201619703586294,0.587140156386857
"BetRivers",321,0.202912230228315,0.590947498106536
"Fanatics",321,0.203295885294731,0.592458871904952
"BetOnline.ag",321,0.203512942826575,0.591120055077917
"LowVig.ag",321,0.203901000552823,0.591860548167524
"BetUS",321,0.203973509054772,0.592227567718877
"FanDuel",321,0.204492302626621,0.594740544396399
"Bovada",321,0.204789462387494,0.595284806729077
"DraftKings",321,0.204987579040623,0.594687649184565
"Caesars",321,0.206677517861491,0.598845396907129
