volume_bucket,n,volume_range,volume_median,brier_kalshi,logloss_kalshi,brier_sportsbook,logloss_sportsbook
1,40,"0 - 1,590",998,0.18204618852028895,0.5365139120343311,0.20775149131712103,0.5980272266813662
2,40,"1,641 - 3,754",2350.5,0.17454473439990026,0.5190149318487602,0.19159990016327055,0.5581410436384912
3,40,"3,823 - 5,997",4905,0.14966873906697556,0.4667493978225865,0.15427592913643665,0.4788862219213622
4,40,"6,084 - 9,273",8067,0.25079213653267973,0.7254347593621181,0.24104617634250278,0.6953577042519986
5,40,"9,322 - 12,691",10460,0.23274068216372099,0.649117916422025,0.22722871397045005,0.64152699562986
6,40,"12,809 - 16,509",14574.5,0.16190302667206535,0.494844299110396,0.1726689679271075,0.5226200662562935
7,40,"16,765 - 23,111",18982,0.20637260765341053,0.5969121170662279,0.2128720889384118,0.6127293477248649
8,40,"23,148 - 33,061",28262,0.20240479213614593,0.5893691482139138,0.2042548968583238,0.5934936141085341
9,40,"33,712 - 53,738",38782,0.23167638048298528,0.6510443686465651,0.22644544576201406,0.6414232993926609
10,39,"53,864 - 194,902",77076,0.202209062655106,0.5909429762009388,0.19941080835679392,0.5836795624702886
